"/Users/rwikkamilya/MSc/Computational Creativity/computational_creativity_group_ass_1/.venv/bin/python" /Users/rwikkamilya/MSc/Computational Creativity/computational_creativity_group_ass_1/src/run_ga.py 
[Gen 142] best=0.8117  mean=0.6322
[Gen 143] best=0.8117  mean=0.6283
[Gen 144] best=0.8117  mean=0.5742
[Gen 145] best=0.8117  mean=0.6240
[Gen 146] best=0.8117  mean=0.6143
[Gen 147] best=0.8117  mean=0.6556
[Gen 148] best=0.8117  mean=0.6445
[Gen 149] best=0.8117  mean=0.5844
[Gen 150] best=0.8117  mean=0.6486
[Gen 151] best=0.8117  mean=0.6205
[Gen 152] best=0.8117  mean=0.6048
[Gen 153] best=0.8117  mean=0.6089
[Gen 154] best=0.8117  mean=0.6007
[Gen 155] best=0.8117  mean=0.5381
[Gen 156] best=0.8130  mean=0.6396
[Gen 157] best=0.8130  mean=0.6053
[Gen 158] best=0.8130  mean=0.6181
[Gen 159] best=0.8130  mean=0.6196
[Gen 160] best=0.8161  mean=0.5859
[Gen 161] best=0.8161  mean=0.6369
[Gen 162] best=0.8161  mean=0.6402
[Gen 163] best=0.8161  mean=0.6207
[Gen 164] best=0.8161  mean=0.6670
[Gen 165] best=0.8161  mean=0.6020
[Gen 166] best=0.8161  mean=0.6130
[Gen 167] best=0.8161  mean=0.6233
[Gen 168] best=0.8161  mean=0.6200
[Gen 169] best=0.8161  mean=0.6434
[Gen 170] best=0.8161  mean=0.6598
[Gen 171] best=0.8180  mean=0.6150
[Gen 172] best=0.8180  mean=0.5877
[Gen 173] best=0.8180  mean=0.6697
[Gen 174] best=0.8180  mean=0.6356
[Gen 175] best=0.8180  mean=0.6011
[Gen 176] best=0.8180  mean=0.6085
[Gen 177] best=0.8180  mean=0.6267
[Gen 178] best=0.8180  mean=0.6187
[Gen 179] best=0.8180  mean=0.6618
[Gen 180] best=0.8241  mean=0.5711
[Gen 181] best=0.8241  mean=0.6570
[Gen 182] best=0.8241  mean=0.6400
[Gen 183] best=0.8241  mean=0.6309
[Gen 184] best=0.8241  mean=0.6322
[Gen 185] best=0.8241  mean=0.5912
[Gen 186] best=0.8281  mean=0.6702
[Gen 187] best=0.8281  mean=0.6650
[Gen 188] best=0.8281  mean=0.6681
[Gen 189] best=0.8281  mean=0.6887
[Gen 190] best=0.8281  mean=0.6293
[Gen 191] best=0.8281  mean=0.6481
[Gen 192] best=0.8281  mean=0.6492
[Gen 193] best=0.8281  mean=0.6412
[Gen 194] best=0.8281  mean=0.6733
[Gen 195] best=0.8281  mean=0.6227
[Gen 196] best=0.8281  mean=0.6645
[Gen 197] best=0.8281  mean=0.6702
[Gen 198] best=0.8281  mean=0.6575
[Gen 199] best=0.8281  mean=0.6619
[Gen 200] best=0.8281  mean=0.6524
[Gen 201] best=0.8281  mean=0.6600
[Gen 202] best=0.8281  mean=0.6346
[Gen 203] best=0.8281  mean=0.6522
[Gen 204] best=0.8281  mean=0.6268
[Gen 205] best=0.8281  mean=0.5707
[Gen 206] best=0.8281  mean=0.6218
[Gen 207] best=0.8281  mean=0.6701
[Gen 208] best=0.8281  mean=0.6164
[Gen 209] best=0.8281  mean=0.6111
[Gen 210] best=0.8281  mean=0.6374
[Gen 211] best=0.8281  mean=0.6173
[Gen 212] best=0.8281  mean=0.6297
[Gen 213] best=0.8281  mean=0.6511
[Gen 214] best=0.8281  mean=0.6633
[Gen 215] best=0.8281  mean=0.6305
[Gen 216] best=0.8281  mean=0.6579
[Gen 217] best=0.8281  mean=0.6309
[Gen 218] best=0.8281  mean=0.6606
[Gen 219] best=0.8281  mean=0.6410
[Gen 220] best=0.8281  mean=0.6821
[Gen 221] best=0.8281  mean=0.6173
[Gen 222] best=0.8281  mean=0.6378
[Gen 223] best=0.8281  mean=0.6957
[Gen 224] best=0.8281  mean=0.6546
[Gen 225] best=0.8281  mean=0.6525
[Gen 226] best=0.8281  mean=0.6593
